# Quantenoptiklabor: Experiment Hong-Ou-Mandel dip
# Messung vom 27.06.2008, 13:39 Uhr
# Aufnahme von 280 Schritten in 1ym Abstand (optischer Weg = 2ym)
# Messung: 10 mal für 10s
# Der Datensatz aus dem Experiment kann z.B. zum Auswerten in Excel importiert werden

 
# Didaktik der Physik, Universität Erlangen


#Achsenbeschriftung:
# Wegposition [mm]; 	Detektor 1;	Stabw D1; 	Detektor 2;	Stabw D2; 	Koinzidenzen; 	Stabw Koinz




28,08789    ;   114696,00000    ;   435,86211    ;   111019,20000    ;   335,50585    ;   2469,80000    ;   62,59002
28,08891    ;   114808,20000    ;   411,91040    ;   111107,70000    ;   191,23171    ;   2471,20000    ;   56,35562
28,08988    ;   114565,50000    ;   291,18618    ;   111030,30000    ;   380,59020    ;   2495,30000    ;   39,76612
28,09090    ;   114723,10000    ;   301,84413    ;   111216,00000    ;   320,16975    ;   2483,80000    ;   48,01342
28,09188    ;   114728,90000    ;   376,50216    ;   110988,80000    ;   374,30760    ;   2477,80000    ;   40,49911
28,09286    ;   114803,00000    ;   225,80769    ;   110889,30000    ;   359,77803    ;   2490,10000    ;   69,36610
28,09391    ;   114643,60000    ;   212,62811    ;   111142,40000    ;   351,36818    ;   2466,60000    ;   41,98730
28,09489    ;   114707,00000    ;   286,13594    ;   110978,40000    ;   360,32707    ;   2464,80000    ;   31,97846
28,09591    ;   114756,50000    ;   266,31362    ;   111061,30000    ;   250,87759    ;   2470,50000    ;   44,59509
28,09688    ;   114636,50000    ;   263,97864    ;   111306,30000    ;   359,60257    ;   2494,10000    ;   64,69321
28,09794    ;   114685,10000    ;   435,72607    ;   111066,60000    ;   428,51273    ;   2473,90000    ;   40,13436
28,09884    ;   114707,40000    ;   182,41966    ;   110982,10000    ;   329,69462    ;   2468,70000    ;   41,07459
28,09989    ;   114598,10000    ;   291,08321    ;   111030,50000    ;   431,24039    ;   2475,20000    ;   48,00880
28,10087    ;   114733,00000    ;   561,22228    ;   110949,40000    ;   291,09800    ;   2467,70000    ;   34,89365
28,10189    ;   114769,20000    ;   275,79977    ;   111049,40000    ;   380,74494    ;   2495,10000    ;   45,04183
28,10291    ;   114608,60000    ;   323,43407    ;   110945,70000    ;   349,52350    ;   2471,40000    ;   25,77337
28,10384    ;   114600,60000    ;   312,44384    ;   110960,50000    ;   407,43868    ;   2480,50000    ;   53,02463
28,10490    ;   114650,40000    ;   324,81352    ;   111119,30000    ;   223,47610    ;   2481,30000    ;   36,69105
28,10588    ;   114552,00000    ;   272,26703    ;   110818,20000    ;   257,38894    ;   2474,60000    ;   44,23975
28,10689    ;   114625,20000    ;   425,60435    ;   111033,80000    ;   550,92343    ;   2460,20000    ;   61,90279
28,10787    ;   114687,50000    ;   479,38578    ;   111091,30000    ;   397,16860    ;   2494,60000    ;   55,52817
28,10889    ;   114621,30000    ;   237,99582    ;   110930,50000    ;   254,22092    ;   2470,60000    ;   64,37770
28,10990    ;   114658,40000    ;   265,97836    ;   111142,90000    ;   335,38948    ;   2475,80000    ;   53,35375
28,11092    ;   114657,10000    ;   209,93674    ;   110890,90000    ;   312,53602    ;   2473,60000    ;   66,25238
28,11190    ;   114841,60000    ;   321,74048    ;   110850,60000    ;   308,24060    ;   2457,10000    ;   47,78761
28,11287    ;   114672,10000    ;   420,00541    ;   110821,90000    ;   387,99583    ;   2500,00000    ;   61,28984
28,11389    ;   114725,70000    ;   292,08144    ;   110915,80000    ;   336,46027    ;   2486,90000    ;   72,36704
28,11487    ;   114650,40000    ;   442,06566    ;   110979,60000    ;   225,28313    ;   2466,00000    ;   52,49127
28,11593    ;   114503,30000    ;   408,10213    ;   110895,90000    ;   418,44512    ;   2470,50000    ;   39,78903
28,11682    ;   114542,40000    ;   320,87976    ;   110959,60000    ;   381,42516    ;   2481,10000    ;   44,48833
28,11788    ;   114596,10000    ;   162,91542    ;   110879,40000    ;   219,93949    ;   2465,90000    ;   68,39826
28,11890    ;   114560,90000    ;   247,17221    ;   110969,70000    ;   257,77770    ;   2460,70000    ;   28,83690
28,11987    ;   114580,60000    ;   312,93528    ;   110750,70000    ;   374,82175    ;   2463,60000    ;   43,15656
28,12089    ;   114484,40000    ;   237,72823    ;   111086,40000    ;   383,82814    ;   2488,30000    ;   48,21952
28,12187    ;   114540,90000    ;   362,93417    ;   110664,70000    ;   224,97459    ;   2470,00000    ;   59,74576
28,12288    ;   114328,00000    ;   237,23406    ;   110867,30000    ;   387,21859    ;   2447,80000    ;   43,19928
28,12390    ;   114377,90000    ;   245,23705    ;   110940,20000    ;   345,99127    ;   2458,70000    ;   51,28580
28,12488    ;   114502,70000    ;   273,48941    ;   110865,90000    ;   185,30303    ;   2428,60000    ;   55,76379
28,12589    ;   114423,50000    ;   210,60719    ;   110800,20000    ;   356,58529    ;   2459,20000    ;   54,78808
28,12687    ;   114422,20000    ;   358,31699    ;   110818,20000    ;   218,65234    ;   2429,60000    ;   42,01375
28,12789    ;   114495,60000    ;   251,39707    ;   110916,80000    ;   280,04635    ;   2453,00000    ;   44,81071
