# Quantenoptiklabor: Experiment Interferenz und Energiekorrelation
# Messung vom 28.09.2008, 08:15 Uhr
# Datenaufnahme: Pro Datenpunkt 10 Messungen mit 1s: Mittelwert und Standardabweichung
# Didaktik der Physik, Universität Erlangen
# Lab-User: P. Bronner

#Aufnahme der Koinzidenzen von Trigger&Transmittiert + Trigger&Reflektiert

#Achsenbeschriftung:
# Weg [nm]	Einzelereignisse [Hz]	Stab Einzel [Hz]	Koinz [Hz]	Stab Koinz [Hz]

2952	30402,5	165,1	1618,7	63,8
2959	30487,4	168,9	1632,1	45,4
2969	30696,6	163,7	1768,9	51,3
2977	31007,9	153,7	1988,3	45,5
2985	31201,5	187,0	2176,7	32,0
2995	31070,2	164,0	2263,3	87,8
3003	31270,4	161,5	2365,2	61,4
3011	31279,1	137,1	2565,1	61,9
3020	31260,4	163,5	2628,4	89,7
3028	31175,8	222,6	2736,6	57,3
3037	31160,6	217,2	2835,2	75,1
3045	31077,4	95,4	2894,3	65,2
3054	30914,7	206,6	2947,7	57,1
3063	30783,3	181,9	2970,8	44,0
3071	30418,3	141,9	2991,3	68,1
3080	30333,1	94,0	3010,7	75,1
3088	30115,2	271,7	3001,5	63,7
3098	29722,3	268,8	2957,0	59,5
3105	29496,6	142,8	2906,4	49,2
3114	29186,5	173,1	2858,7	80,1
3123	28812,7	270,1	2749,1	88,7
3132	28633,9	184,0	2724,7	65,8
3140	28186,2	188,1	2562,5	62,3
3148	27941,1	154,6	2471,2	44,5
3158	27717,5	190,0	2342,1	60,7
3166	27518,5	165,7	2180,9	63,1
3174	27291,8	164,5	2072,8	90,9
3184	27156,4	113,4	1950,2	59,8
3192	26902,9	122,7	1763,6	59,9
3201	26795,5	199,8	1594,6	53,6
3210	26891,9	144,4	1527,0	46,6
3218	26675,0	125,9	1346,4	45,0
3227	26790,9	244,9	1226,3	27,5
3236	26804,4	147,2	1140,7	49,3
3244	26980,6	192,5	1012,3	42,1
3253	26919,6	222,1	937,0	22,7
3262	27248,5	205,1	863,6	17,3
3270	27220,1	169,4	809,7	31,1
3278	27597,5	211,0	792,5	19,4
3287	27735,8	160,1	780,3	38,9
3296	28251,3	260,8	783,8	27,7
3304	28574,2	200,8	818,3	29,9
3313	28708,4	168,7	854,2	38,1
3322	29034,3	218,8	910,3	36,2
3331	29498,6	202,1	1024,5	62,3
3339	29709,3	239,1	1101,2	41,5
3348	29851,1	265,4	1162,1	71,5
3358	30417,7	273,4	1369,8	91,6
3366	30592,9	213,0	1445,3	90,2
3375	30867,1	169,0	1626,7	28,5
3384	31048,4	232,4	1777,2	107,7
3393	31052,2	183,0	1810,0	77,4
3401	31313,5	90,0	2067,1	125,5
3409	31485,3	150,6	2145,7	44,4
3418	31392,5	181,0	2273,8	74,8
3427	31460,9	214,5	2431,2	72,8
3436	31448,1	234,3	2532,9	63,9
3444	31284,5	210,6	2709,1	92,5
3453	31277,3	231,9	2820,2	115,3
3462	31040,1	202,6	2841,4	70,2
3470	30861,3	247,8	2931,6	33,8
3479	30602,3	279,4	3014,0	68,7
3489	30653,3	168,7	3046,4	54,5
3497	30226,8	224,8	3006,9	55,5
3506	30004,6	200,6	3033,1	40,6
